"Date","Repo","Reverse Repo"
"06/04/2022","0","0"
"05/04/2022","0","0"
"04/04/2022","0","8.706"
"01/04/2022","0","0"
"31/03/2022","0","0"
"30/03/2022","0","0"
"29/03/2022","0","8.657"
"28/03/2022","0","8.691"
"25/03/2022","0","0"
"24/03/2022","0","0"
"23/03/2022","0","8.615"
"22/03/2022","0","8.57"
"21/03/2022","0","8.44"
"18/03/2022","0","0"
"17/03/2022","0","0"
"17/03/2022","0","0"
"16/03/2022","0","0"
"15/03/2022","0","0"
"14/03/2022","0","8.347"
"14/03/2022","0","8.347"
"11/03/2022","0","0"
"10/03/2022","0","0"
"09/03/2022","0","0"
"08/03/2022","0","0"
"07/03/2022","0","8.431"
"04/03/2022","0","0"
"02/03/2022","0","0"
"01/03/2022","0","0"
"28/02/2022","0","0"
"25/02/2022","0","0"
"24/02/2022","0","8.116"
"23/02/2022","0","8.212"
"22/02/2022","0","8.55"
"21/02/2022","0","8.693"
"18/02/2022","0","0"
"17/02/2022","0","0"
"16/02/2022","0","0"
"15/02/2022","0","0"
"14/02/2022","0","0"
"11/02/2022","0","0"
"10/02/2022","0","8.614"
"09/02/2022","0","0"
"08/02/2022","0","0"
"07/02/2022","0","0"
"04/02/2022","0","0"
"03/02/2022","0","8.552"
"02/02/2022","0","0"
"01/02/2022","0","0"
"31/01/2022","0","8.547"
"28/01/2022","0","0"
"27/01/2022","0","8.549"
"26/01/2022","0","0"
"25/01/2022","0","0"
"24/01/2022","0","8.635"
"21/01/2022","0","0"
"20/01/2022","0","8.584"
"19/01/2022","0","8.24"
"18/01/2022","0","0"
"17/01/2022","4.884","0"
"14/01/2022","0","0"
"13/01/2022","0","0"
"12/01/2022","0","0"
"11/01/2022","0","0"
"10/01/2022","4.966","0"
"07/01/2022","4.942","0"
"06/01/2022","5.072","0"
"04/01/2022","5.262","0"
"03/01/2022","5.401","0"
"29/12/2021","0","8.5"
"22/12/2021","0","8.503"
"20/12/2021","0","8.308"
"16/12/2021","0","8.184"
"14/12/2021","5.365","0"
"08/12/2021","5.39","0"
"07/12/2021","5.354","0"
"06/12/2021","5.321","0"
"03/12/2021","5.306","0"
"02/12/2021","5.2","0"
"01/12/2021","5.2","0"
"30/11/2021","5.091","0"
"29/11/2021","5.075","0"
"26/11/2021","5.004","0"
"25/11/2021","4.95","0"
"24/11/2021","4.971","0"
"23/11/2021","4.975","0"
"22/11/2021","4.952","0"
"19/11/2021","4.886","0"
"18/11/2021","4.7","0"
"16/11/2021","4.69","0"
"15/11/2021","4.95","0"
"10/11/2021","4.543","0"
"09/11/2021","4.596","0"
"08/11/2021","4.648","0"
"05/11/2021","4.685","0"
"04/11/2021","4.852","0"
"03/11/2021","5.166","0"
"02/11/2021","5.444","0"
"01/11/2021","5.514","0"
"29/10/2021","5.714","0"
"28/10/2021","5.92","0"
"27/10/2021","0","0"
"26/10/2021","0","0"
"25/10/2021","0","7.448"
"23/10/2021","0","7.448"
"19/10/2021","6.364","0"
"18/10/2021","6.415","0"
"15/10/2021","6.229","0"
"08/10/2021","6.49","0"
"06/10/2021","6.778","0"
"04/10/2021","6.888","0"
"01/10/2021","6.943","0"
"29/09/2021","6.99","0"
"28/09/2021","7","0"
"27/09/2021","0","0"
"23/09/2021","0","8.468"
"22/09/2021","0","8.047"
"17/09/2021","0","7.8"
"16/09/2021","0","7.299"
"13/09/2021","0","7.222"
"09/09/2021","5.372","0"
